parcel,sprice,abstrprd,livearea,finbsmnt,basement,yrbuilt,totunits,stories,nocars,numbdrm,numbaths,deduct,netprice,tasp,smonth,syear,condition_AVG,condition_Excel,condition_Fair,condition_Good,condition_VGood,quality_A,quality_B,quality_C,quality_D,quality_X,gartype_Att,gartype_Att/Det,gartype_CP,gartype_Det,gartype_None,gartype_att/CP,gartype_det/CP,arcstyle_BI-LEVEL,arcstyle_CONVERSIONS,arcstyle_END UNIT,arcstyle_MIDDLE UNIT,arcstyle_ONE AND HALF-STORY,arcstyle_ONE-STORY,arcstyle_SPLIT LEVEL,arcstyle_THREE-STORY,arcstyle_TRI-LEVEL,arcstyle_TRI-LEVEL WITH BASEMENT,arcstyle_TWO AND HALF-STORY,arcstyle_TWO-STORY,qualified_Q,qualified_U,status_I,status_V,before1980
00141-28-006-000,127000,1112,1509,0,0,2005,1,2,2,3,2,0,127000,127000,9,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-29-007-000,125000,1112,1509,0,0,2005,1,2,2,3,3,4000,121000,121000,7,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-29-008-000,155000,1112,1509,0,0,2005,1,2,2,3,2,3317,151683,151683,3,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-30-002-000,180000,1112,2854,0,0,2005,1,2,2,4,3,2700,177300,177300,1,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-31-006-000,186000,1112,2855,0,1205,2004,1,2,2,4,3,0,186000,186000,5,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-31-010-000,235215,1112,3126,0,1357,2005,1,2,2,4,3,5500,229715,229715,9,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-32-017-000,155000,1112,1834,0,1834,2005,1,1,2,3,2,0,155000,155000,2,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
00141-33-002-000,275000,1112,3305,0,1500,2005,1,2,2,3,3,4000,271000,271000,6,2012,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-33-016-000,234900,1112,3305,0,1500,2005,1,2,2,4,3,4396,230504,230504,9,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-34-012-000,222000,1112,3305,0,1500,2005,1,2,2,5,3,4440,217560,217560,7,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-35-018-000,200000,1112,2927,328,1314,2005,1,2,2,4,4,5800,194200,194200,2,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-36-002-000,181500,1112,1960,0,0,2005,1,2,2,3,3,0,181500,181500,9,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-36-003-000,153100,1112,2042,0,0,2005,1,2,2,3,3,2990,150110,150110,5,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-36-004-000,142000,1112,1960,0,0,2005,1,2,2,3,3,0,142000,142000,11,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-36-006-000,164800,1112,2042,0,0,2005,1,2,2,3,3,0,164800,164800,11,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
00141-36-006-000,189000,1112,2042,0,0,2005,1,2,2,3,3,0,189000,189000,5,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-36-008-000,163000,1112,2079,0,0,2005,1,2,2,3,3,1630,161370,161370,9,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
00141-36-013-000,182750,1112,1960,0,0,2005,1,2,2,3,3,4500,178250,178250,11,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
